id,nombre,cpa_id,paraje_id
1,25 DE MAYO,,1
2,AGUSTIN MOSCONI,,1
3,ARAUJO,,1
4,BLAS DURAÑONA,,1
5,COLONIA INCHAUSTI,,1
6,DEL VALLE,,1
7,DESVIO GARBARINI,,1
8,ERNESTINA,,1
9,ESCUELA AGRICOLA SALESIANA,,1
10,GOBERNADOR UGARTE,,1
11,HUETEL,,1
12,ISLAS,,1
13,JUAN VELA,,1
14,LA GLORIA,,1
15,LA RABIA,,1
16,LA RUBIA,,1
17,LA TRIBU,,1
18,LAGUNA LAS MULITAS,,1
19,LUCAS MONTEVERDE,,1
20,MAMAGUITA,,1
21,MARTIN BERRAONDO,,1
22,NORBERTO DE LA RIESTRA,,1
23,ORTIZ DE ROSAS,,1
24,PEDERNALES,,1
25,PUEBLITOS,,1
26,SAN ENRIQUE,,1
27,SAN JOSE,,1
28,SANTIAGO GARBARINI,,1
29,VALDEZ,,1
30,12 DE OCTUBRE,,2
31,9 DE JULIO,,2
32,ALFREDO DEMARCHI,,2
33,AMALIA,,2
34,BACACAY,,2
35,BARRIO JULIO DE VEDIA,,2
36,CAMBACERES,,2
37,CARLOS MARIA NAON,,2
38,COLONIA LAS YESCAS,,2
39,CORBETT,,2
40,DENNEHY,,2
41,DESVIO KILOMETRO 234,,2
42,DUDIGNAC,,2
43,EL JABALI,,2
44,EL TEJAR,,2
45,ESTACION PROVINCIAL,,2
46,FAUZON,,2
47,FRENCH,,2
48,GALO LLORENTE,,2
49,GERENTE CILLEY,,2
50,INGENIERO DE MADRID,,2
51,LA ADELA,,2
52,LA AURORA,,2
53,LA NIÑA,,2
54,LA YESCA,,2
55,LAGUNA DEL CURA,,2
56,LAS NEGRAS,,2
57,LAS ROSAS,,2
58,MOREA,,2
59,MULCAHY,,2
60,NORUMBEGA,,2
61,PATRICIOS,,2
62,QUIROGA,,2
63,RAMON J NEILD,,2
64,REGINALDO J NEILD,,2
65,SAN JUAN,,2
66,SANTOS UNZUE,,2
67,TROPEZON,,2
68,VILLA DIAMANTINA,,2
69,ADOLFO ALSINA,,3
70,ARANO,,3
71,ARTURO VATTEONE,,3
72,AVESTRUZ,,3
73,CAMPO DEL NORTE AMERICANO,,3
74,CAMPO LA ZULEMA,,3
75,CAMPO LOS AROMOS,,3
76,CAMPO SAN JUAN,,3
77,CANONIGO GORRITI,,3
78,CARHUE,,3
79,CAÑADA MARIANO,,3
80,CHAPI TALO,,3
81,COLONIA BARON HIRSCH,,3
82,COLONIA LA ESTRELLA,,3
83,COLONIA LAPIN,,3
84,COLONIA LEVEN,,3
85,COLONIA MURATURE,,3
86,COLONIA NAVIERA,,3
87,COLONIA PHILLIPSON N 1,,3
88,COLONIA SANTA MARIANA,,3
89,DELFIN HUERGO,,3
90,EL PARQUE,,3
91,EPUMER,,3
92,ESTACION LAGO EPECUEN,,3
93,ESTEBAN A GASCON,,3
94,FATRALO,,3
95,FRANCISCO MURATURE,,3
96,JUAN V CILLEY,,3
97,LA FLORIDA,,3
98,LA PALA,,3
99,LAGO EPECUEN,,3
100,LEUBUCO,,3
101,LOS GAUCHOS,,3
102,MALABIA,,3
103,MAZA,,3
104,MONTE FIORE,,3
105,POCITO,,3
106,RIVERA,,3
107,SAN ANTONIO,,3
108,SAN MIGUEL ARCANGEL,,3
109,THAMES,,3
110,TRES LAGUNAS,,3
111,VILLA CASTELAR EST ERIZE,,3
112,VILLA MARGARITA,,3
113,VILLA MAZA,,3
114,VILLA SAURI,,3
115,YUTUYACO,,3
116,ADOLFO GONZALES CHAVES,,4
117,ALZAGA,,4
118,DE LA GARMA,,4
119,EL LUCERO,,4
120,JUAN E BARRA,,4
121,PEDRO LASALLE,,4
122,VASQUEZ,,4
123,ACHUPALLAS,,5
124,ALBERTI,,5
125,ANDERSON,,5
126,ANDRES VACCAREZZA,,5
127,BAUDRIX,,5
128,COLONIA PALANTELEN,,5
129,COLONIA ZAMBUNGO,,5
130,CORONEL MON,,5
131,CORONEL SEGUI,,5
132,EMITA,,5
133,GRISOLIA,,5
134,LARREA,,5
135,PALANTELEN,,5
136,PLA,,5
137,PRESIDENTE QUINTANA,,5
138,SAN JOSE,,5
139,VILLA MARIA,,5
140,VILLA ORTIZ,,5
141,ADROGUE,,6
142,BURZACO,,6
143,CLAYPOLE,,6
144,GLEW,,6
145,JOSE MARMOL,,6
146,LONGCHAMPS,,6
147,MALVINAS ARGENTINAS,,6
148,MINISTRO RIVADAVIA,,6
149,RAFAEL CALZADA,,6
150,SAN FRANCISCO SOLANO,,6
151,SAN JOSE,,6
152,ALMACEN LA COLINA,,7
153,ARRECIFES,,7
154,CAMPO CRISOL,,7
155,CAÑADA MARTA,,7
156,EL NACIONAL,,7
157,LA DELIA,,7
158,LA NELIDA,,7
159,PUENTE CAÑETE,,7
160,TODD,,7
161,VILLA SANGUINETTI,,7
162,VIÑA,,7
163,AVELLANEDA,,8
164,CRUCESITA,,8
165,DOCK SUD,,8
166,GERLI,,8
167,PIÑEYRO,,8
168,SARANDI,,8
169,VILLA DOMINICO,,8
170,WILDE,,8
171,AYACUCHO,,9
172,CANGALLO,,9
173,EL BOQUERON,,9
174,FAIR,,9
175,LA CONSTANCIA,,9
176,LA POSTA,,9
177,LANGUEYU,,9
178,LAS PAJAS,,9
179,LAS SULTANAS,,9
180,SAN IGNACIO,,9
181,SAN LAUREANO,,9
182,SOLANET,,9
183,UDAQUIOLA,,9
184,16 DE JULIO,,10
185,ANTONIO DE LOS HEROS,,10
186,ARIEL,,10
187,ARROYO LOS HUESOS,,10
188,AZUL,,10
189,BASE NAVAL AZOPARDO,,10
190,BERNARDO VERA Y PINTADO,,10
191,CACHARI,,10
192,CAMINERA AZUL,,10
193,CAMPODONICO,,10
194,CERRO AGUILA,,10
195,CHILLAR,,10
196,CUARTEL II,,10
197,ESTACION LAZZARINO,,10
198,FORTIN IRENE,,10
199,FRANCISCO J MEEKS,,10
200,KILOMETRO 433,,10
201,LA CHUMBEADA,,10
202,LA COLORADA,,10
203,LA MANTEQUERIA,,10
204,LA PROTEGIDA,,10
205,LA VERDE,,10
206,LAGUNA MEDINA,,10
207,LAS CORTADERAS,,10
208,LAS NIEVES,,10
209,LAZZARINO,,10
210,MARTIN FIERRO,,10
211,MIRAMONTE,,10
212,NIEVES,,10
213,PABLO ACOSTA,,10
214,PARISH,,10
215,SAN GERVACIO,,10
216,SAN RAMON DE ANCHORENA,,10
217,SHAW,,10
218,VAÑA,,10
219,VICENTE PEREDA,,10
220,ADELA CORTI,,11
221,AGUARA,,11
222,ALFEREZ SAN MARTIN,,11
223,BAHIA BLANCA,,11
224,BASE AERONAVAL CMTE ESPORA,,11
225,CABILDO,,11
226,COCHRANE,,11
227,COLONIA BELLA VISTA,,11
228,CORTI,,11
229,ESPORA,,11
230,GARRO,,11
231,GRAL DANIEL CERRI,,11
232,GRUMBEIN,,11
233,INGENIERO WHITE,,11
234,KILOMETRO 11,,11
235,KILOMETRO 652,,11
236,KILOMETRO 666,,11
237,KILOMETRO 9 SUD,,11
238,LA VITICOLA,,11
239,PUERTO GALVAN,,11
240,SAUCE CHICO,,11
241,SPURR,,11
242,VENANCIO,,11
243,VILLA BUENOS AIRES,,11
244,VILLA CERRITO,,11
245,VILLA DOMINGO PRONSATO,,11
246,VILLA FLORESTA,,11
247,VILLA HARDING GREEN,,11
248,VILLA HERMINIA,,11
249,VILLA ITALIA,,11
250,VILLA LIBRE,,11
251,VILLA LORETO,,11
252,VILLA MITRE,,11
253,VILLA NOCITO,,11
254,VILLA OBRERA,,11
255,VILLA OLGA GRUMBEIN,,11
256,VILLA ROSAS,,11
257,VILLA SANCHEZ ELIA,,11
258,VILLA SERRA,,11
259,ZONA CANGREJALES,,11
260,BALCARCE,,12
