id,nombre,provincia_id
1,25 DE MAYO,1
2,9 DE JULIO,1
3,ADOLFO ALSINA,1
4,ADOLFO GONZALES CHAVES,1
5,ALBERTI,1
6,ALMIRANTE BROWN,1
7,ARRECIFES,1
8,AVELLANEDA,1
9,AYACUCHO,1
10,AZUL,1
11,BAHIA BLANCA,1
12,BALCARCE,1
13,BARADERO,1
14,BENITO JUAREZ,1
15,BERAZATEGUI,1
16,BERISSO,1
17,BOLIVAR,1
18,BRAGADO,1
19,CAMPANA,1
20,CAPITAN SARMIENTO,1
21,CARLOS CASARES,1
22,CARLOS TEJEDOR,1
23,CARMEN DE ARECO,1
24,CASTELLI,1
25,CAÑUELAS,1
26,CHACABUCO,1
27,CHASCOMUS,1
28,CHIVILCOY,1
29,COLON,1
30,CORONEL BRANDSEN,1
31,CORONEL DORREGO,1
32,CORONEL PRINGLES,1
33,CORONEL ROSALES,1
34,CORONEL SUAREZ,1
35,DAIREAUX,1
36,DOLORES,1
37,ENSENADA,1
38,ESCOBAR,1
39,ESTEBAN ECHEVERRIA,1
40,EXALTACION DE LA CRUZ,1
41,EZEIZA,1
42,FLORENCIO VARELA,1
43,FLORENTINO AMEGHINO,1
44,GENERAL ALVARADO,1
45,GENERAL ALVEAR,1
46,GENERAL ARENALES,1
47,GENERAL BELGRANO,1
48,GENERAL GUIDO,1
49,GENERAL LAMADRID,1
50,GENERAL LAS HERAS,1
51,GENERAL LAVALLE,1
52,GENERAL MADARIAGA,1
53,GENERAL PAZ,1
54,GENERAL PINTO,1
55,GENERAL PUEYRREDON,1
56,GENERAL RODRIGUEZ,1
57,GENERAL SAN MARTIN,1
58,GENERAL VIAMONTE,1
59,GENERAL VILLEGAS,1
60,GUAMINI,1
61,HIPOLITO YRIGOYEN,1
62,HURLINGHAM,1
63,ITUZAINGO,1
64,JOSE CLEMENTE PAZ,1
65,JUNIN,1
66,LA COSTA,1
67,LA MATANZA,1
68,LA PLATA,1
69,LANUS,1
70,LAPRIDA,1
71,LAS FLORES,1
72,LEANDRO N ALEM,1
73,LINCOLN,1
74,LOBERIA,1
75,LOBOS,1
76,LOMAS DE ZAMORA,1
77,LUJAN,1
78,MAGDALENA,1
79,MAIPU,1
80,MALVINAS ARGENTINAS,1
81,MAR CHIQUITA,1
82,MARCOS PAZ,1
83,MERCEDES,1
84,MERLO,1
85,MONTE,1
86,MONTE HERMOSO,1
87,MORENO,1
88,MORON,1
89,NAVARRO,1
90,NECOCHEA,1
91,OLAVARRIA,1
92,PATAGONES,1
93,PEHUAJO,1
94,PELLEGRINI,1
95,PERGAMINO,1
96,PILA,1
97,PILAR,1
98,PINAMAR,1
99,PRESIDENTE PERON,1
100,PUAN,1
101,PUNTA INDIO,1
102,QUILMES,1
103,RAMALLO,1
104,RAUCH,1
105,RIVADAVIA,1
106,ROJAS,1
107,ROQUE PEREZ,1
